year,month,type,value
2005,1,delay_carrier,2067784
2005,1,delay_late,2564397
2005,1,delay_security,13152
2005,1,delay_nas,2373719
2005,1,delay_weather,601992
2005,2,delay_carrier,1492652
2005,2,delay_late,1778646
2005,2,delay_security,7289
2005,2,delay_nas,1876506
2005,2,delay_weather,315848
2005,3,delay_carrier,1848181
2005,3,delay_late,2367218
2005,3,delay_security,22559
2005,3,delay_nas,2209616
2005,3,delay_weather,377667
2005,4,delay_carrier,1335380
2005,4,delay_late,1379302
2005,4,delay_security,8652
2005,4,delay_nas,1298076
2005,4,delay_weather,242815
2005,5,delay_carrier,1385037
2005,5,delay_late,1530562
2005,5,delay_security,5329
2005,5,delay_nas,1385878
2005,5,delay_weather,257587
2005,6,delay_carrier,2065172
2005,6,delay_late,2801540
2005,6,delay_security,10144
2005,6,delay_nas,2445503
2005,6,delay_weather,494727
2005,7,delay_carrier,2516919
2005,7,delay_late,3894650
2005,7,delay_security,13948
2005,7,delay_nas,3128157
2005,7,delay_weather,727936
2005,8,delay_carrier,2164422
2005,8,delay_late,2661527
2005,8,delay_security,20258
2005,8,delay_nas,2227201
2005,8,delay_weather,507289
2005,9,delay_carrier,1349963
2005,9,delay_late,1255912
2005,9,delay_security,6318
2005,9,delay_nas,1238216
2005,9,delay_weather,200089
2005,10,delay_carrier,1381005
2005,10,delay_late,1624195
2005,10,delay_security,9160
2005,10,delay_nas,1689471
2005,10,delay_weather,287169
2005,11,delay_carrier,1522750
2005,11,delay_late,1620211
2005,11,delay_security,5883
2005,11,delay_nas,1797001
2005,11,delay_weather,257998
2005,12,delay_carrier,2312615
2005,12,delay_late,2679447
2005,12,delay_security,18353
2005,12,delay_nas,2376853
2005,12,delay_weather,442673
2006,1,delay_carrier,1716094
2006,1,delay_late,1971851
2006,1,delay_security,8056
2006,1,delay_nas,1805841
2006,1,delay_weather,350723
2006,2,delay_carrier,1658066
2006,2,delay_late,2111853
2006,2,delay_security,22340
2006,2,delay_nas,1803968
2006,2,delay_weather,333845
2006,3,delay_carrier,1896227
2006,3,delay_late,2657080
2006,3,delay_security,18280
