airport,airport_name,arr_flights,latitude,longitude
ATL,Hartsfield-Jackson Atlanta International,159004,33.64044444,-84.42694444
DFW,Dallas/Fort Worth International,142860,32.89595056,-97.0372
DEN,Denver International,139197,39.85840806,-104.6670019
ORD,Chicago O'Hare International,131022,41.979595,-87.90446417
CLT,Charlotte Douglas International,96301,35.21401111,-80.94312583
LAX,Los Angeles International,91693,33.94253611,-118.4080744
LGA,LaGuardia,87056,40.777243060000004,-73.87260917
SEA,Seattle/Tacoma International,85187,47.44898194,-122.3093131
MCO,Orlando International,81760,28.42888889,-81.31602778
LAS,McCarran International,80230,36.08036111,-115.1523333
