year,airport_name,on_time
2012,Ellison Onizuka Kona International at Keahole,0.9000932256059664
2012,Kahului Airport,0.8949764062304255
2012,Lihue Airport,0.8941303011677935
2013,Kahului Airport,0.8780119832751412
2013,Long Beach Airport,0.8736178107606679
2013,Lihue Airport,0.873087534487083
2014,Lihue Airport,0.9055082848186297
2014,Ellison Onizuka Kona International at Keahole,0.9023835516739447
2014,Kahului Airport,0.8889901152462079
2015,Lihue Airport,0.8967358011726613
2015,Ellison Onizuka Kona International at Keahole,0.893046357615894
2015,Salt Lake City International,0.8753645346697245
2016,Lihue Airport,0.9106508875739645
2016,Ellison Onizuka Kona International at Keahole,0.9020281321557082
2016,Ted Stevens Anchorage International,0.8907889397716074
2017,Ellison Onizuka Kona International at Keahole,0.8862275449101796
2017,Lihue Airport,0.8817091816206647
2017,Kahului Airport,0.8719364007084895
2018,Ellison Onizuka Kona International at Keahole,0.9107771459518007
2018,Lihue Airport,0.9086237240408307
2018,Kahului Airport,0.8904061073508579
2019,Lihue Airport,0.8981797497155859
2019,Ellison Onizuka Kona International at Keahole,0.8967321105657453
2019,Kahului Airport,0.8821871683197307
2020,Chicago Midway International,0.9496330168828802
2020,Norman Y. Mineta San Jose International,0.9448450536352802
2020,Metropolitan Oakland International,0.9435734667051393
2021,Hartsfield-Jackson Atlanta International,0.8878139243900259
2021,Lihue Airport,0.8873729266987694
2021,Minneapolis-St Paul International,0.8847907681164192
2022,Salt Lake City International,0.8541319676851953
2022,Hartsfield-Jackson Atlanta International,0.8314595118445481
2022,San Francisco International,0.8297764431097765
